variable,country,state,educ,group,gar_
Gross Attendance Ratio (GAR),India,Andhra Pradesh,upperprimarymiddlelevel,Rural Male,85.900002
Gross Attendance Ratio (GAR),India,Andhra Pradesh,upperprimarymiddlelevel,Total,81.900002
Gross Attendance Ratio (GAR),India,Andhra Pradesh,upperprimarymiddlelevel,Urban,83.800003
Gross Attendance Ratio (GAR),India,Andhra Pradesh,upperprimarymiddlelevel,Urban Female,76.400002
Gross Attendance Ratio (GAR),India,Andhra Pradesh,upperprimarymiddlelevel,Urban Male,91.900002
Gross Attendance Ratio (GAR),India,Assam,highersecondarylevel,Female,54.099998
Gross Attendance Ratio (GAR),India,Assam,highersecondarylevel,Male,57.799999
Gross Attendance Ratio (GAR),India,Assam,highersecondarylevel,Rural,52
Gross Attendance Ratio (GAR),India,Assam,highersecondarylevel,Rural Female,49.400002
Gross Attendance Ratio (GAR),India,Assam,highersecondarylevel,Rural Male,54.5
Gross Attendance Ratio (GAR),India,Assam,highersecondarylevel,Total,56
Gross Attendance Ratio (GAR),India,Assam,highersecondarylevel,Urban,91.400002
Gross Attendance Ratio (GAR),India,Assam,highersecondarylevel,Urban Female,102.4
Gross Attendance Ratio (GAR),India,Assam,highersecondarylevel,Urban Male,83.400002
Gross Attendance Ratio (GAR),India,Assam,posthighersecondarylevel,Female,12.9
Gross Attendance Ratio (GAR),India,Assam,posthighersecondarylevel,Male,19.9
Gross Attendance Ratio (GAR),India,Assam,posthighersecondarylevel,Rural,14
Gross Attendance Ratio (GAR),India,Assam,posthighersecondarylevel,Rural Female,10.6
Gross Attendance Ratio (GAR),India,Assam,posthighersecondarylevel,Rural Male,17.200001
Gross Attendance Ratio (GAR),India,Assam,posthighersecondarylevel,Total,16.5
Gross Attendance Ratio (GAR),India,Assam,posthighersecondarylevel,Urban,39.299999
Gross Attendance Ratio (GAR),India,Assam,posthighersecondarylevel,Urban Female,33.599998
Gross Attendance Ratio (GAR),India,Assam,posthighersecondarylevel,Urban Male,44.799999
Gross Attendance Ratio (GAR),India,Assam,primaryandupperprima,Female,104.6
Gross Attendance Ratio (GAR),India,Assam,primaryandupperprima,Male,103.5
Gross Attendance Ratio (GAR),India,Assam,primaryandupperprima,Rural,104.4
Gross Attendance Ratio (GAR),India,Assam,primaryandupperprima,Rural Female,105.2
Gross Attendance Ratio (GAR),India,Assam,primaryandupperprima,Rural Male,103.7
Gross Attendance Ratio (GAR),India,Assam,primaryandupperprima,Total,104
Gross Attendance Ratio (GAR),India,Assam,primaryandupperprima,Urban,99.699997
Gross Attendance Ratio (GAR),India,Assam,primaryandupperprima,Urban Female,97.800003
Gross Attendance Ratio (GAR),India,Assam,primaryandupperprima,Urban Male,101.3
Gross Attendance Ratio (GAR),India,Assam,primarylevel,Female,104.4
Gross Attendance Ratio (GAR),India,Assam,primarylevel,Male,103
Gross Attendance Ratio (GAR),India,Assam,primarylevel,Rural,103.5
Gross Attendance Ratio (GAR),India,Assam,primarylevel,Rural Female,104.5
Gross Attendance Ratio (GAR),India,Assam,primarylevel,Rural Male,102.8
Gross Attendance Ratio (GAR),India,Assam,primarylevel,Total,103.6
Gross Attendance Ratio (GAR),India,Assam,primarylevel,Urban,104
Gross Attendance Ratio (GAR),India,Assam,primarylevel,Urban Female,102.4
Gross Attendance Ratio (GAR),India,Assam,primarylevel,Urban Male,105
Gross Attendance Ratio (GAR),India,Assam,secondarylevel,Female,87.400002
Gross Attendance Ratio (GAR),India,Assam,secondarylevel,Male,86
Gross Attendance Ratio (GAR),India,Assam,secondarylevel,Rural,83.900002
Gross Attendance Ratio (GAR),India,Assam,secondarylevel,Rural Female,85.400002
Gross Attendance Ratio (GAR),India,Assam,secondarylevel,Rural Male,82.800003
Gross Attendance Ratio (GAR),India,Assam,secondarylevel,Total,86.599998
Gross Attendance Ratio (GAR),India,Assam,secondarylevel,Urban,117
Gross Attendance Ratio (GAR),India,Assam,secondarylevel,Urban Female,109.1
Gross Attendance Ratio (GAR),India,Assam,secondarylevel,Urban Male,123
Gross Attendance Ratio (GAR),India,Assam,upperprimarymiddlelevel,Female,104.9
Gross Attendance Ratio (GAR),India,Assam,upperprimarymiddlelevel,Male,104.5
Gross Attendance Ratio (GAR),India,Assam,upperprimarymiddlelevel,Rural,105.9
Gross Attendance Ratio (GAR),India,Assam,upperprimarymiddlelevel,Rural Female,106.6
Gross Attendance Ratio (GAR),India,Assam,upperprimarymiddlelevel,Rural Male,105.4
Gross Attendance Ratio (GAR),India,Assam,upperprimarymiddlelevel,Total,104.7
Gross Attendance Ratio (GAR),India,Assam,upperprimarymiddlelevel,Urban,92.199997
Gross Attendance Ratio (GAR),India,Assam,upperprimarymiddlelevel,Urban Female,92.400002
Gross Attendance Ratio (GAR),India,Assam,upperprimarymiddlelevel,Urban Male,91.800003
Gross Attendance Ratio (GAR),India,Bihar,highersecondarylevel,Female,58.400002
Gross Attendance Ratio (GAR),India,Bihar,highersecondarylevel,Male,70.199997
Gross Attendance Ratio (GAR),India,Bihar,highersecondarylevel,Rural,62.799999
Gross Attendance Ratio (GAR),India,Bihar,highersecondarylevel,Rural Female,55
Gross Attendance Ratio (GAR),India,Bihar,highersecondarylevel,Rural Male,67.400002
Gross Attendance Ratio (GAR),India,Bihar,highersecondarylevel,Total,65.699997
Gross Attendance Ratio (GAR),India,Bihar,highersecondarylevel,Urban,88.5
Gross Attendance Ratio (GAR),India,Bihar,highersecondarylevel,Urban Female,82
Gross Attendance Ratio (GAR),India,Bihar,highersecondarylevel,Urban Male,93.199997
Gross Attendance Ratio (GAR),India,Bihar,posthighersecondarylevel,Female,11.1
Gross Attendance Ratio (GAR),India,Bihar,posthighersecondarylevel,Male,21.200001
Gross Attendance Ratio (GAR),India,Bihar,posthighersecondarylevel,Rural,14.1
Gross Attendance Ratio (GAR),India,Bihar,posthighersecondarylevel,Rural Female,8.8000002
Gross Attendance Ratio (GAR),India,Bihar,posthighersecondarylevel,Rural Male,19.4
Gross Attendance Ratio (GAR),India,Bihar,posthighersecondarylevel,Total,16.200001
Gross Attendance Ratio (GAR),India,Bihar,posthighersecondarylevel,Urban,33.799999
Gross Attendance Ratio (GAR),India,Bihar,posthighersecondarylevel,Urban Female,30.5
Gross Attendance Ratio (GAR),India,Bihar,posthighersecondarylevel,Urban Male,37.200001
Gross Attendance Ratio (GAR),India,Bihar,primaryandupperprima,Female,95.800003
Gross Attendance Ratio (GAR),India,Bihar,primaryandupperprima,Male,98.800003
Gross Attendance Ratio (GAR),India,Bihar,primaryandupperprima,Rural,97.900002
Gross Attendance Ratio (GAR),India,Bihar,primaryandupperprima,Rural Female,96.5
Gross Attendance Ratio (GAR),India,Bihar,primaryandupperprima,Rural Male,98.800003
Gross Attendance Ratio (GAR),India,Bihar,primaryandupperprima,Total,97.599998
Gross Attendance Ratio (GAR),India,Bihar,primaryandupperprima,Urban,95.199997
Gross Attendance Ratio (GAR),India,Bihar,primaryandupperprima,Urban Female,90
Gross Attendance Ratio (GAR),India,Bihar,primaryandupperprima,Urban Male,98.5
Gross Attendance Ratio (GAR),India,Bihar,primarylevel,Female,98
Gross Attendance Ratio (GAR),India,Bihar,primarylevel,Male,96.699997
Gross Attendance Ratio (GAR),India,Bihar,primarylevel,Rural,97.400002
Gross Attendance Ratio (GAR),India,Bihar,primarylevel,Rural Female,98.800003
Gross Attendance Ratio (GAR),India,Bihar,primarylevel,Rural Male,96.400002
Gross Attendance Ratio (GAR),India,Bihar,primarylevel,Total,97.199997
Gross Attendance Ratio (GAR),India,Bihar,primarylevel,Urban,95.5
Gross Attendance Ratio (GAR),India,Bihar,primarylevel,Urban Female,90.300003
Gross Attendance Ratio (GAR),India,Bihar,primarylevel,Urban Male,98.800003
Gross Attendance Ratio (GAR),India,Bihar,secondarylevel,Female,86.099998
Gross Attendance Ratio (GAR),India,Bihar,secondarylevel,Male,79.400002
Gross Attendance Ratio (GAR),India,Bihar,secondarylevel,Rural,82.099998
Gross Attendance Ratio (GAR),India,Bihar,secondarylevel,Rural Female,85.300003
Gross Attendance Ratio (GAR),India,Bihar,secondarylevel,Rural Male,80.099998
Gross Attendance Ratio (GAR),India,Bihar,secondarylevel,Total,82
Gross Attendance Ratio (GAR),India,Bihar,secondarylevel,Urban,81.099998
Gross Attendance Ratio (GAR),India,Bihar,secondarylevel,Urban Female,93.599998
Gross Attendance Ratio (GAR),India,Bihar,secondarylevel,Urban Male,72.400002
Gross Attendance Ratio (GAR),India,Bihar,upperprimarymiddlelevel,Female,91.5
Gross Attendance Ratio (GAR),India,Bihar,upperprimarymiddlelevel,Male,103.1
Gross Attendance Ratio (GAR),India,Bihar,upperprimarymiddlelevel,Rural,98.900002
Gross Attendance Ratio (GAR),India,Bihar,upperprimarymiddlelevel,Rural Female,91.699997
Gross Attendance Ratio (GAR),India,Bihar,upperprimarymiddlelevel,Rural Male,103.7
Gross Attendance Ratio (GAR),India,Bihar,upperprimarymiddlelevel,Total,98.400002
Gross Attendance Ratio (GAR),India,Bihar,upperprimarymiddlelevel,Urban,94.599998
Gross Attendance Ratio (GAR),India,Bihar,upperprimarymiddlelevel,Urban Female,89.599998
Gross Attendance Ratio (GAR),India,Bihar,upperprimarymiddlelevel,Urban Male,97.900002
Gross Attendance Ratio (GAR),India,Chhattisgarh,highersecondarylevel,Female,63.599998
Gross Attendance Ratio (GAR),India,Chhattisgarh,highersecondarylevel,Male,69.800003
Gross Attendance Ratio (GAR),India,Chhattisgarh,highersecondarylevel,Rural,63.900002
Gross Attendance Ratio (GAR),India,Chhattisgarh,highersecondarylevel,Rural Female,57.299999
Gross Attendance Ratio (GAR),India,Chhattisgarh,highersecondarylevel,Rural Male,69.400002
Gross Attendance Ratio (GAR),India,Chhattisgarh,highersecondarylevel,Total,66.900002
Gross Attendance Ratio (GAR),India,Chhattisgarh,highersecondarylevel,Urban,82.400002
Gross Attendance Ratio (GAR),India,Chhattisgarh,highersecondarylevel,Urban Female,93.900002
Gross Attendance Ratio (GAR),India,Chhattisgarh,highersecondarylevel,Urban Male,71.699997
Gross Attendance Ratio (GAR),India,Chhattisgarh,posthighersecondarylevel,Female,11.9
Gross Attendance Ratio (GAR),India,Chhattisgarh,posthighersecondarylevel,Male,20.6
Gross Attendance Ratio (GAR),India,Chhattisgarh,posthighersecondarylevel,Rural,13.7
Gross Attendance Ratio (GAR),India,Chhattisgarh,posthighersecondarylevel,Rural Female,9.6000004
Gross Attendance Ratio (GAR),India,Chhattisgarh,posthighersecondarylevel,Rural Male,17.5
Gross Attendance Ratio (GAR),India,Chhattisgarh,posthighersecondarylevel,Total,16.200001
Gross Attendance Ratio (GAR),India,Chhattisgarh,posthighersecondarylevel,Urban,27.4
Gross Attendance Ratio (GAR),India,Chhattisgarh,posthighersecondarylevel,Urban Female,20.9
Gross Attendance Ratio (GAR),India,Chhattisgarh,posthighersecondarylevel,Urban Male,35.5
Gross Attendance Ratio (GAR),India,Chhattisgarh,primaryandupperprima,Female,101.8
Gross Attendance Ratio (GAR),India,Chhattisgarh,primaryandupperprima,Male,101.5
Gross Attendance Ratio (GAR),India,Chhattisgarh,primaryandupperprima,Rural,101.8
Gross Attendance Ratio (GAR),India,Chhattisgarh,primaryandupperprima,Rural Female,101.7
Gross Attendance Ratio (GAR),India,Chhattisgarh,primaryandupperprima,Rural Male,102
Gross Attendance Ratio (GAR),India,Chhattisgarh,primaryandupperprima,Total,101.6
Gross Attendance Ratio (GAR),India,Chhattisgarh,primaryandupperprima,Urban,100.6
Gross Attendance Ratio (GAR),India,Chhattisgarh,primaryandupperprima,Urban Female,102.1
Gross Attendance Ratio (GAR),India,Chhattisgarh,primaryandupperprima,Urban Male,99.5
Gross Attendance Ratio (GAR),India,Chhattisgarh,primarylevel,Female,100.4
Gross Attendance Ratio (GAR),India,Chhattisgarh,primarylevel,Male,104
Gross Attendance Ratio (GAR),India,Chhattisgarh,primarylevel,Rural,102.6
Gross Attendance Ratio (GAR),India,Chhattisgarh,primarylevel,Rural Female,100.1
Gross Attendance Ratio (GAR),India,Chhattisgarh,primarylevel,Rural Male,104.7
Gross Attendance Ratio (GAR),India,Chhattisgarh,primarylevel,Total,102.4
Gross Attendance Ratio (GAR),India,Chhattisgarh,primarylevel,Urban,101.5
Gross Attendance Ratio (GAR),India,Chhattisgarh,primarylevel,Urban Female,102.6
Gross Attendance Ratio (GAR),India,Chhattisgarh,primarylevel,Urban Male,100.6
Gross Attendance Ratio (GAR),India,Chhattisgarh,secondarylevel,Female,93.400002
Gross Attendance Ratio (GAR),India,Chhattisgarh,secondarylevel,Male,87.599998
Gross Attendance Ratio (GAR),India,Chhattisgarh,secondarylevel,Rural,90.599998
Gross Attendance Ratio (GAR),India,Chhattisgarh,secondarylevel,Rural Female,93.699997
Gross Attendance Ratio (GAR),India,Chhattisgarh,secondarylevel,Rural Male,87.699997
Gross Attendance Ratio (GAR),India,Chhattisgarh,secondarylevel,Total,90.300003
Gross Attendance Ratio (GAR),India,Chhattisgarh,secondarylevel,Urban,89
Gross Attendance Ratio (GAR),India,Chhattisgarh,secondarylevel,Urban Female,91.5
Gross Attendance Ratio (GAR),India,Chhattisgarh,secondarylevel,Urban Male,87
Gross Attendance Ratio (GAR),India,Chhattisgarh,upperprimarymiddlelevel,Female,104.1
Gross Attendance Ratio (GAR),India,Chhattisgarh,upperprimarymiddlelevel,Male,97.5
Gross Attendance Ratio (GAR),India,Chhattisgarh,upperprimarymiddlelevel,Rural,100.7
Gross Attendance Ratio (GAR),India,Chhattisgarh,upperprimarymiddlelevel,Rural Female,104.6
Gross Attendance Ratio (GAR),India,Chhattisgarh,upperprimarymiddlelevel,Rural Male,97.5
Gross Attendance Ratio (GAR),India,Chhattisgarh,upperprimarymiddlelevel,Total,100.4
Gross Attendance Ratio (GAR),India,Chhattisgarh,upperprimarymiddlelevel,Urban,99
Gross Attendance Ratio (GAR),India,Chhattisgarh,upperprimarymiddlelevel,Urban Female,101.2
Gross Attendance Ratio (GAR),India,Chhattisgarh,upperprimarymiddlelevel,Urban Male,97.599998
Gross Attendance Ratio (GAR),India,Delhi,highersecondarylevel,Female,83.900002
Gross Attendance Ratio (GAR),India,Delhi,highersecondarylevel,Male,87.699997
Gross Attendance Ratio (GAR),India,Delhi,highersecondarylevel,Total,86.199997
Gross Attendance Ratio (GAR),India,Delhi,highersecondarylevel,Urban,87.300003
Gross Attendance Ratio (GAR),India,Delhi,highersecondarylevel,Urban Female,83.400002
Gross Attendance Ratio (GAR),India,Delhi,highersecondarylevel,Urban Male,89.800003
Gross Attendance Ratio (GAR),India,Delhi,posthighersecondarylevel,Female,32.599998
Gross Attendance Ratio (GAR),India,Delhi,posthighersecondarylevel,Male,27.4
Gross Attendance Ratio (GAR),India,Delhi,posthighersecondarylevel,Total,29.6
Gross Attendance Ratio (GAR),India,Delhi,posthighersecondarylevel,Urban,30.299999
Gross Attendance Ratio (GAR),India,Delhi,posthighersecondarylevel,Urban Female,32.799999
Gross Attendance Ratio (GAR),India,Delhi,posthighersecondarylevel,Urban Male,28.4
Gross Attendance Ratio (GAR),India,Delhi,primaryandupperprima,Female,91.599998
Gross Attendance Ratio (GAR),India,Delhi,primaryandupperprima,Male,101
Gross Attendance Ratio (GAR),India,Delhi,primaryandupperprima,Total,96.800003
Gross Attendance Ratio (GAR),India,Delhi,primaryandupperprima,Urban,97
Gross Attendance Ratio (GAR),India,Delhi,primaryandupperprima,Urban Female,91.5
Gross Attendance Ratio (GAR),India,Delhi,primaryandupperprima,Urban Male,101.3
Gross Attendance Ratio (GAR),India,Delhi,primarylevel,Female,101.1
Gross Attendance Ratio (GAR),India,Delhi,primarylevel,Male,99.5
Gross Attendance Ratio (GAR),India,Delhi,primarylevel,Total,100.2
Gross Attendance Ratio (GAR),India,Delhi,primarylevel,Urban,100.3
Gross Attendance Ratio (GAR),India,Delhi,primarylevel,Urban Female,101.3
Gross Attendance Ratio (GAR),India,Delhi,primarylevel,Urban Male,99.5
Gross Attendance Ratio (GAR),India,Delhi,secondarylevel,Female,104.4
Gross Attendance Ratio (GAR),India,Delhi,secondarylevel,Male,87.800003
Gross Attendance Ratio (GAR),India,Delhi,secondarylevel,Total,93.599998
Gross Attendance Ratio (GAR),India,Delhi,secondarylevel,Urban,92.5
Gross Attendance Ratio (GAR),India,Delhi,secondarylevel,Urban Female,103.8
Gross Attendance Ratio (GAR),India,Delhi,secondarylevel,Urban Male,86.599998
Gross Attendance Ratio (GAR),India,Delhi,upperprimarymiddlelevel,Female,76.699997
Gross Attendance Ratio (GAR),India,Delhi,upperprimarymiddlelevel,Male,104.3
Gross Attendance Ratio (GAR),India,Delhi,upperprimarymiddlelevel,Total,90.599998
Gross Attendance Ratio (GAR),India,Delhi,upperprimarymiddlelevel,Urban,90.800003
Gross Attendance Ratio (GAR),India,Delhi,upperprimarymiddlelevel,Urban Female,76.199997
Gross Attendance Ratio (GAR),India,Delhi,upperprimarymiddlelevel,Urban Male,105.1
Gross Attendance Ratio (GAR),India,Gujarat,highersecondarylevel,Female,58.400002
Gross Attendance Ratio (GAR),India,Gujarat,highersecondarylevel,Male,59.799999
Gross Attendance Ratio (GAR),India,Gujarat,highersecondarylevel,Rural,54.5
Gross Attendance Ratio (GAR),India,Gujarat,highersecondarylevel,Rural Female,55.299999
Gross Attendance Ratio (GAR),India,Gujarat,highersecondarylevel,Rural Male,53.799999
Gross Attendance Ratio (GAR),India,Gujarat,highersecondarylevel,Total,59.200001
Gross Attendance Ratio (GAR),India,Gujarat,highersecondarylevel,Urban,68.800003
Gross Attendance Ratio (GAR),India,Gujarat,highersecondarylevel,Urban Female,66.199997
Gross Attendance Ratio (GAR),India,Gujarat,highersecondarylevel,Urban Male,70.300003
Gross Attendance Ratio (GAR),India,Gujarat,posthighersecondarylevel,Female,14
Gross Attendance Ratio (GAR),India,Gujarat,posthighersecondarylevel,Male,16.5
Gross Attendance Ratio (GAR),India,Gujarat,posthighersecondarylevel,Rural,10.2
Gross Attendance Ratio (GAR),India,Gujarat,posthighersecondarylevel,Rural Female,7.5999999
Gross Attendance Ratio (GAR),India,Gujarat,posthighersecondarylevel,Rural Male,12.7
Gross Attendance Ratio (GAR),India,Gujarat,posthighersecondarylevel,Total,15.3
Gross Attendance Ratio (GAR),India,Gujarat,posthighersecondarylevel,Urban,23.6
Gross Attendance Ratio (GAR),India,Gujarat,posthighersecondarylevel,Urban Female,25.200001
Gross Attendance Ratio (GAR),India,Gujarat,posthighersecondarylevel,Urban Male,22.200001
Gross Attendance Ratio (GAR),India,Gujarat,primaryandupperprima,Female,96.699997
Gross Attendance Ratio (GAR),India,Gujarat,primaryandupperprima,Male,101.1
Gross Attendance Ratio (GAR),India,Gujarat,primaryandupperprima,Rural,97.300003
Gross Attendance Ratio (GAR),India,Gujarat,primaryandupperprima,Rural Female,94.400002
Gross Attendance Ratio (GAR),India,Gujarat,primaryandupperprima,Rural Male,100
Gross Attendance Ratio (GAR),India,Gujarat,primaryandupperprima,Total,99.099998
Gross Attendance Ratio (GAR),India,Gujarat,primaryandupperprima,Urban,102.6
Gross Attendance Ratio (GAR),India,Gujarat,primaryandupperprima,Urban Female,101.9
Gross Attendance Ratio (GAR),India,Gujarat,primaryandupperprima,Urban Male,103
Gross Attendance Ratio (GAR),India,Gujarat,primarylevel,Female,106.4
Gross Attendance Ratio (GAR),India,Gujarat,primarylevel,Male,105.8
Gross Attendance Ratio (GAR),India,Gujarat,primarylevel,Rural,106.3
Gross Attendance Ratio (GAR),India,Gujarat,primarylevel,Rural Female,106.1
Gross Attendance Ratio (GAR),India,Gujarat,primarylevel,Rural Male,106.5
Gross Attendance Ratio (GAR),India,Gujarat,primarylevel,Total,106
Gross Attendance Ratio (GAR),India,Gujarat,primarylevel,Urban,105.5
Gross Attendance Ratio (GAR),India,Gujarat,primarylevel,Urban Female,107
Gross Attendance Ratio (GAR),India,Gujarat,primarylevel,Urban Male,104.6
Gross Attendance Ratio (GAR),India,Gujarat,secondarylevel,Female,83.800003
Gross Attendance Ratio (GAR),India,Gujarat,secondarylevel,Male,91.800003
Gross Attendance Ratio (GAR),India,Gujarat,secondarylevel,Rural,82.599998
Gross Attendance Ratio (GAR),India,Gujarat,secondarylevel,Rural Female,82.099998
Gross Attendance Ratio (GAR),India,Gujarat,secondarylevel,Rural Male,83.099998
Gross Attendance Ratio (GAR),India,Gujarat,secondarylevel,Total,88.300003
Gross Attendance Ratio (GAR),India,Gujarat,secondarylevel,Urban,100.4
Gross Attendance Ratio (GAR),India,Gujarat,secondarylevel,Urban Female,88.400002
Gross Attendance Ratio (GAR),India,Gujarat,secondarylevel,Urban Male,108
Gross Attendance Ratio (GAR),India,Gujarat,upperprimarymiddlelevel,Female,84.900002
Gross Attendance Ratio (GAR),India,Gujarat,upperprimarymiddlelevel,Male,93.300003
Gross Attendance Ratio (GAR),India,Gujarat,upperprimarymiddlelevel,Rural,84.900002
Gross Attendance Ratio (GAR),India,Gujarat,upperprimarymiddlelevel,Rural Female,80.300003
Gross Attendance Ratio (GAR),India,Gujarat,upperprimarymiddlelevel,Rural Male,89.800003
Gross Attendance Ratio (GAR),India,Gujarat,upperprimarymiddlelevel,Total,89.099998
Gross Attendance Ratio (GAR),India,Gujarat,upperprimarymiddlelevel,Urban,97.900002
Gross Attendance Ratio (GAR),India,Gujarat,upperprimarymiddlelevel,Urban Female,95.599998
Gross Attendance Ratio (GAR),India,Gujarat,upperprimarymiddlelevel,Urban Male,100
Gross Attendance Ratio (GAR),India,Haryana,highersecondarylevel,Female,70.900002
Gross Attendance Ratio (GAR),India,Haryana,highersecondarylevel,Male,69.900002
Gross Attendance Ratio (GAR),India,Haryana,highersecondarylevel,Rural,67.400002
Gross Attendance Ratio (GAR),India,Haryana,highersecondarylevel,Rural Female,69.699997
Gross Attendance Ratio (GAR),India,Haryana,highersecondarylevel,Rural Male,65.900002
Gross Attendance Ratio (GAR),India,Haryana,highersecondarylevel,Total,70.300003
Gross Attendance Ratio (GAR),India,Haryana,highersecondarylevel,Urban,76.5
Gross Attendance Ratio (GAR),India,Haryana,highersecondarylevel,Urban Female,73.599998
Gross Attendance Ratio (GAR),India,Haryana,highersecondarylevel,Urban Male,78.199997
Gross Attendance Ratio (GAR),India,Haryana,posthighersecondarylevel,Female,27.1
Gross Attendance Ratio (GAR),India,Haryana,posthighersecondarylevel,Male,23.700001
Gross Attendance Ratio (GAR),India,Haryana,posthighersecondarylevel,Rural,19.700001
Gross Attendance Ratio (GAR),India,Haryana,posthighersecondarylevel,Rural Female,21.6
Gross Attendance Ratio (GAR),India,Haryana,posthighersecondarylevel,Rural Male,18.299999
Gross Attendance Ratio (GAR),India,Haryana,posthighersecondarylevel,Total,25.200001
Gross Attendance Ratio (GAR),India,Haryana,posthighersecondarylevel,Urban,37.799999
Gross Attendance Ratio (GAR),India,Haryana,posthighersecondarylevel,Urban Female,37.799999
Gross Attendance Ratio (GAR),India,Haryana,posthighersecondarylevel,Urban Male,37.700001
Gross Attendance Ratio (GAR),India,Haryana,primaryandupperprima,Female,103.9
Gross Attendance Ratio (GAR),India,Haryana,primaryandupperprima,Male,99.800003
Gross Attendance Ratio (GAR),India,Haryana,primaryandupperprima,Rural,101.7
Gross Attendance Ratio (GAR),India,Haryana,primaryandupperprima,Rural Female,103.4
