Country,Year,Variable,State,lit_Male,lit_Female,lit_Total,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Madhya Pradesh,91.4,79.5,85.8,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Maharashtra,95.3,87.6,91.7,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Odisha,94.4,85.9,90.2,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Punjab,93.8,86.7,90.5,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Rajasthan,91.1,74.6,83.5,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Tamil Nadu,92.3,85.9,89,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Telangana,91.7,79,85.5,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Uttarakhand,97.4,85.9,92,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Uttar Pradesh,86.8,74.9,81.2,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,West Bengal,91.4,84.7,88.1,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,all-India,92.2,82.8,87.7,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Andhra Pradesh,73.4,59.5,66.4,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Assam,90.1,81.2,85.9,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Bihar,79.7,60.5,70.9,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Chhattisgarh,85.4,68.7,77.3,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Delhi,93.7,82.4,88.7,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Gujarat,89.5,74.8,82.4,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Haryana,88,71.3,80.4,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Himachal Pradesh,92.9,80.5,86.6,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Jammu & Kashmir,85.7,68,77.3,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Jharkhand,83,64.7,74.3,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Karnataka,83.4,70.5,77.2,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Kerala,97.4,95.2,96.2,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Madhya Pradesh,81.2,65.5,73.7,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Maharashtra,90.7,78.4,84.8,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Odisha,84,70.3,77.3,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Punjab,88.5,78.5,83.7,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Rajasthan,80.8,57.6,69.7,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Tamil Nadu,87.9,77.9,82.9,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Telangana,80.5,65.1,72.8,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Uttarakhand,94.3,80.7,87.6,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Uttar Pradesh,81.8,63.4,73,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,West Bengal,84.8,76.1,80.5,Total
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,all-India,84.7,70.3,77.7,Total
